Date,BTC,ETH,SOL,UNI,AR,DOT,AVAX,YFI,LINK,CRV,LUNA,AAVE,Total Investment (USD),Total Investment (BTC)
2021-11-15,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-16,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-17,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-18,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-19,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-20,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-21,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-22,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-23,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-24,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
2021-11-25,0.11160597,0.50302015,9.47203808,91.62575982,26.94312717,33.95841755,15.16189284,0.04326566,40.44940199,299.5861975,23.38659,2.01428369,25000,0.38203144
